van_ban,phu_luc,nhom,muc_cha,stt,ma_hs,mo_ta
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,45,Chương 58,Toàn bộ Chương 58
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,46,Chương 60,Toàn bộ Chương 60
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,47,Chương 61,Toàn bộ Chương 61
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,48,Chương 62,Toàn bộ Chương 62
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,49,6301,Chăn và chăn du lịch
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,50,6302,"Vỏ ga, vỏ gối, khăn trải giường (bed linen), khăn trải bàn, khăn trong phòng vệ sinh và khăn nhà bếp"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,51,6303,Màn che (kể cả rèm trang trí) và rèm mờ che phía trong; diềm màn che hoặc diềm giường
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,52,6304,"Các sản phẩm trang trí nội thất khác, trừ các loại thuộc nhóm 94.04"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,53,6307.10,"- Khăn lau sàn, khăn lau bát đĩa, khăn lau bụi và các loại khăn lau tương tự"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,54,6308.00.00,"Bộ vải bao gồm vải dệt thoi và chỉ, có hoặc không có phụ kiện, dùng để làm chăn, thảm trang trí, khăn trải bàn hoặc khăn ăn đã thêu, hoặc các sản phẩm dệt tương tự, đóng gói sẵn để bán lẻ"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,55,6309.00.00,Quần áo và các sản phẩm dệt may đã qua sử dụng khác
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,56,Chương 64,Toàn bộ Chương 64
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,57,6504.00.00,"Các loại mũ và các vật đội đầu khác, được làm bằng cách tết hoặc ghép các dải làm bằng chất liệu bất kỳ, đã hoặc chưa có lót hoặc trang trí"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,58,6505,"Các loại mũ và các vật đội đầu khác, dệt kim hoặc móc, hoặc làm từ ren, nỉ hoặc vải dệt khác, ở dạng mảnh (trừ dạng dải), đã hoặc chưa lót hoặc trang trí; lưới bao tóc bằng vật liệu bất kỳ, đã hoặc chưa có lót hoặc trang trí"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,59,,- Loại khác:
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,60,6506.91.00,- - Bằng cao su hoặc plastic
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,61,6506.99,- - Bằng các loại vật liệu khác
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,62,6601,"Các loại ô và dù (kể cả ô có cán là ba toong, dù che trong vườn và các loại ô, dù tương tự)"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,63,6602.00.00,"Ba toong, gậy tay cầm có thể chuyển thành ghế, roi, gậy điều khiển, roi điều khiển súc vật thồ, kéo và các loại tương tự"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,64,6702,"Hoa, cành, lá, quả nhân tạo và các phần của chúng; các sản phẩm làm bằng hoa, cành, lá hoặc quả nhân tạo"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,65,6703.00.00,"Tóc người đã được chải, chuốt, tẩy hoặc xử lý bằng cách khác; lông cừu hoặc lông động vật khác hoặc các loại vật liệu dệt khác, được chế biến để dùng làm tóc giả hoặc sản phẩm tương tự"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,66,6704,"Tóc giả, râu, lông mi, lông mày giả, tóc độn và các loại sản phẩm tương tự bằng tóc người hoặc lông động vật hoặc các loại vật liệu dệt; các sản phẩm bằng tóc người chưa được chi tiết hoặc ghi ở nơi khác"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,67,6910,"Bồn rửa, chậu rửa, bệ chậu rửa, bồn tắm, bệ rửa vệ sinh (bidets), bệ xí, bình xối nước, bệ đi tiểu và các sản phẩm vệ sinh tương tự bằng gốm, sứ gắn cố định"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,68,6911,"Bộ đồ ăn, bộ đồ nhà bếp, đồ gia dụng và đồ sứ vệ sinh khác, bằng sứ"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,69,6912.00.00,"Bộ đồ ăn, bộ đồ nhà bếp, đồ gia dụng và đồ vệ sinh bằng gốm, trừ loại bằng sứ"
